PO Created By,PO Create Date,PO Number,Month,Turn around in Days,P Grp,Date order Captured,User order Captured,BOT/MANUAL/SERVICE PROVIDER
4507345,2025-05-13,4400106990,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
4507345,2025-05-13,4400106991,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
4507345,2025-05-13,4400106992,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
2161972,2025-05-14,4400106994,May 2025,0,G05,2025-05-14,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106995,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106996,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106997,May 2025,0,A14,2025-05-16,,MANUAL
1312085,2025-05-14,4400106997,May 2025,0,A14,2025-05-16,,MANUAL
2349011,2025-05-14,4400106998,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
2349011,2025-05-14,4400106998,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
2349011,2025-05-14,4400106998,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107000,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107001,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107002,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-15,4400107004,May 2025,0,A14,2025-05-30,NELD7,MANUAL
1312085,2025-05-16,4400107005,May 2025,0,A14,2025-05-26,PR2PO-ACK2,BOT
1312085,2025-05-16,4400107005,May 2025,0,A14,2025-05-26,PR2PO-ACK2,BOT
2161972,2025-05-16,4400107006,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
2161972,2025-05-16,4400107006,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107008,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
1312085,2025-05-16,4400107011,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-18,4400107020,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-19,4400107022,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
1312085,2025-05-21,4400107025,May 2025,0,A14,2025-05-22,PR2PO-ACK2,BOT
4507345,2025-05-22,4400107030,May 2025,0,A14,2025-05-26,PR2PO-ACK2,BOT
1312085,2025-05-26,4400107032,May 2025,0,A14,2025-05-26,PR2PO-ACK2,BOT
4507345,2025-05-22,4400107031,May 2025,0,A14,2025-05-23,PR2PO-ACK2,BOT
4507345,2025-05-22,4400107031,May 2025,0,A14,2025-05-23,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107010,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
2161972,2025-05-16,4400107012,May 2025,0,G05,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107013,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107013,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107013,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107013,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107013,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-19,4400107021,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-19,4400107023,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
4507345,2025-05-19,4400107024,May 2025,0,A14,2025-05-19,PR2PO-ACK2,BOT
1312085,2025-05-21,4400107026,May 2025,0,A14,2025-05-22,PR2PO-ACK2,BOT
4507345,2025-05-21,4400107028,May 2025,0,A14,2025-05-26,NELD7,MANUAL
4507345,2025-05-21,4400107028,May 2025,0,A14,2025-05-26,NELD7,MANUAL
4507345,2025-05-21,4400107028,May 2025,0,A14,2025-05-26,NELD7,MANUAL
1553319,2025-05-22,4400107029,May 2025,0,G05,2025-05-26,ZWANETS,MANUAL
1553319,2025-05-22,4400107029,May 2025,0,G05,2025-05-26,ZWANETS,MANUAL
1553319,2025-05-22,4400107029,May 2025,0,G05,2025-05-26,ZWANETS,MANUAL
